[Sun Sep 18 17:29:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | 
[Sun Sep 18 17:29:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:29:06 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:29:07 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:29:07 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 1 | 
[Sun Sep 18 17:29:07 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:29:07 EEST 2022] MihiBlu | Location: X: -69 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 1 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 1 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:29:08 EEST 2022] MihiBlu | Location: X: -71 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:29:57 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:29:57 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 1 | Primary Blocks
[Sun Sep 18 17:29:57 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:29:57 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:30:27 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:30:27 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 1 | 
[Sun Sep 18 17:30:27 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:30:27 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:30:47 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:30:47 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 1 | Wood
